Timestamp,Imagine you are passing on the tools that you discovered to another student who has never played this game before. What would you tell them to help them perform better in the game?,Participant ID
10/2/2018 13:47:34,I found that using the guide seemed to be helpful. Trying different 2 combination methods out of the guide didn't help. Putting two of the same items together also didn't help. I did not manage to discover any item that could be formed from 3 items. I found the game confusing since I did not understand how I could make a totem pole. I tried putting 2 half logs together with twine but I still couldn't manage to make a log. Good luck.,907
10/2/2018 13:47:56,"This game can get discouraging but never give up. Try combinations of items solo or double. Also use logic to build items like rope, a stick, and rock to create a knife-like thing. Using stone heads to smooth or cut the wood will get you bonus points. Stack your totem when you can right away to gain extra points. Always keep difficult to make items in your stockpile to speed up production of potential new items.",904
10/2/2018 13:49:23,"When you first start the game, click on the record button towards the top left of the screen and click on all of the objects that I made, so then you can create them quickly and start trying to work on new objects. In the game, I found that I was only making objects with one or two elements, but towards the end I started doing combinations of three. I didn't find any with three, but maybe you will. Also, i wouldn't worry about the paint yet because that is at the end and it takes a lot of time to work with the paint elements, so try building tools first. Also, make sure that you drag your items that you created into the stock area for future use, so then it is easy to retrieve them later on in the game. Try as many combinations as possible and best of luck to you!",905
10/2/2018 13:49:47,"Start off by looking through the combinations that have already been made. I found it helpful to review these combinations and see what each part is made of. During the game this ended up helping me out. Further, don't get frustrated. I feel as if I wasted way to much time trying the same thing over and over again - don't do that. Lastly, think somewhat logically. The combinations kind of make sense once you're done. Good luck.",906
10/2/2018 16:58:06,"Look at the ""record"" section right away. This will give away the basic combos you need to know to make new tools out of the ones you have. From there, start making combos out of 2 of the same resources. After that, just making random combos and hope for the best! Don't get frustrated if you end up not building a totem pole because I couldn't either! Just have fun and get creative.",908
10/2/2018 16:59:00,"Don't stress about finding combinations for tools. Take what you have and start out simple first. Then take the new tools you make and try to break those down even more. It may seem frustrating and time consuming, and you may not figure out how to make the totem pole but try your hardest until the time is up.",910
10/2/2018 16:59:27,"If you're playing this game, it's all about guessing and checking. I tried so many different combinations throughout the game, and eventually you will find something that will help you in getting something else. I would also recommend trying to submit one resource at a time to try and get the smaller tools first. At first, I was trying a bunch of long combinations of resources, only to find later that the smaller you start, the easier it is to find tools. ",909
10/5/2018 13:40:38,Try lots of different combinations. use multiple of one tool or resource in a combination. Keep a closer track of what you have tried so you don't try the same combinations. I am not sure the berries will be useful until you have to paint. It is quite difficult. Have fun!,911
10/5/2018 13:41:57,"At the beginning I tried to put the same items in the workshop just with different amount of it. It worked, once or twice, but it took a very long time. I think the more effective way is to think what resources can be used together to make tools in real life instead of just guessing on random things.",913
10/5/2018 13:42:55,"The only two resources that can be converted are the big tree and the small tree. Besides those 2 resources, it was very difficult to understand the purpose of the game and how to construct the totem poles. I didn't really get far in this game, but I basically just guessed many different combinations of the resources to see if they would turn into anything. I also clicked on random parts of the screen hoping that some tool guide or another function would pop up and allow me to complete the totem pole. ",912
10/5/2018 14:28:29,"My first piece of advice would be to be patient with this game.  It is very easy to get frustrated and give up, as many of the combinations of tools do not work.  However, keep trying.  Try single tools and try tool combinations with two, three, or four tools.  Create a pattern for your tests so you do not keep repeating combinations- I did not do a good job with this and felt that I wasted a lot of time repeating combinations.  Best of luck!!",916
10/5/2018 14:28:31,"I would tell the participant to read the directions carefully, because I don't think I did that too well. I barely found any combinations that worked, so I would also tell them to relax and just make as many combinations as possible until they are told to stop. The process is frustrating so I'd tell them to relax. I can't give much advice since I didn't exactly understand it myself.",914
10/5/2018 14:28:52,"I found it very difficult to actually create the necessary blocks to build a totem pole. I would recommend trying combinations of wood and stone, as I felt like certain combinations would produce useful tools. Often times the news tools I produced were useful in producing other new tools. I could not determine the significance of the berries, but I felt like they should be used as ink. I think once you produce a wooden block that you can actually use to build a totem pole, then the berries would be useful as ink to possibly create a face of some kind. I did not find any combinations of more than two items, but I think that there are possibly combinations of three or four blocks that would create tools. Lastly, I really had to just play around with it in order to create combinations that actually worked. ",915
10/5/2018 14:31:48,"It's not like the mine craft that you can combine more than two same items together, as least I tried many but failed. But you can combine more than two different things together, just try different combination as long as they have some inner association. And don't forget to use your new created items with the original ones, it would be helpful.",917
