Timestamp,Participant ID,Briefly describe the experiment you just completed and what you were supposed to do.,Would you have benefitted from more or better instructions?,How familiar are you with this kind of game?,How enjoyable did you find this game?,How difficult did you find this game?,"Did you use a specific strategy for combining resources and items in this game? If so, please describe it.",Do you have any comments about the game or the experiment that you would like to share with the researchers?
1/31/2017 11:49:07,31,combine natural resources to make materials to make a totem pole,"Yes, I was confused about the task.",1,1,7,just randomly kept putting things together,
1/31/2017 11:50:58,32,I was supposed to use the resources that were given to combine them and create new tools to eventually build a totem pole,"No, I understood what I was supposed to do.",2,3,6,Most of the time I tried to come up with a realistic way to create certain tools as if this were real life,Not sure how the team work part had to do with the experiment
1/31/2017 11:52:26,29,Use some raw material to make up some tools. The tools will be used in make totems.,"Yes, I was confused about the task.",1,1,7,I try to make a combination of every possible thing... but it doesn't work well,"well, I just wanna ask where is the team work..."
1/31/2017 11:52:48,30,Place resources into the workshop area to create tools that would help your tribe build a totem pole.,"Yes, I was confused about the task.",2,2,6,I placed each resource in the space by itself and tried pairing it with every other resource available. I also tried pairing the resources with the tools that were created.,Definitely got stuck multiple times and I felt like every combination I tried failed.
1/31/2017 12:30:50,34,Make resources in order to build a totem,"Yes, I was confused about the task.",2,3,6,"I put all of the same together first, than I switched one out each time it didn't work",No
1/31/2017 12:31:06,33,I was supposed to combine objects to construct a totem pole.,"No, I understood what I was supposed to do.",3,5,6,I would pick one thing and match everything up to it and see if it paired. then i would pick the next object.,It was fun. just hard because there are so many combinations to try.
1/31/2017 12:33:15,36,I have to craft a totem using combination of many things ,"No, I understood what I was supposed to do.",3,4,7,there's a strategy?,thanks for this frustrating game
1/31/2017 12:34:43,35,Mix several source together to produce a new one.,"No, I understood what I was supposed to do.",2,2,6,"No, just try different combinitions.",No.
2/2/2017 11:48:37,39,I was asked to gather tools with help from the ancestors to create a totem pole. ,"No, I understood what I was supposed to do.",1,3,5,I just used the help from the ancestor. With her directions on how to create certain tools. ,"Once I got all my tools, I could not figure out how to create my totem pole. "
2/2/2017 11:50:09,38,Create tools from a bank of resources as well as other tools,"No, I understood what I was supposed to do.",7,7,5,"I attempted to take as much of a patterned approach as possible, in order to not skip any possibility. ",
2/2/2017 11:50:29,40,I need to use the original sources to make tools in order to build a something to the god.,"No, I understood what I was supposed to do.",1,3,6,"yes, some math strategy, since they are so many possibilities, I want to give up.",I do not get the point of this game. What does the game want to research?
2/2/2017 11:51:02,37, build a totem and satisfy the God.,"Yes, I was confused about the task.",3,5,6,pick a resource and combine it with one another among the rest of resources and try one by one.,
2/3/2017 13:06:05,44,We had to combine objects to try to see what we could make/gather.,"Yes, I was confused about the task.",4,1,7,I tried to use one to the max combinations then went from there.,Duration seemed very long
2/3/2017 13:06:48,42,I was supposed to build a Totem with the resources available. ,"Yes, I was confused about the task.",2,1,7,I tried to but it didn't work. ,It was very hard.
2/3/2017 13:07:39,43,I was to create combinations of various items in nature to create tools to make a totem poll. ,"No, I understood what I was supposed to do.",3,3,6,At first I used basic knowledge and assumption to create combinations. Toward the end I got frustrated and picked combinations at random,"It was kinda fun at first, but I got very angry then bored at the end"
2/3/2017 13:08:29,41,"Given some supplies and resources, we had to construct tools and use those tools to build a totem pole to honor our tribe's gods.","No, I understood what I was supposed to do.",2,6,6,"Started with simple trial and error, then used my intuition to build better tools.","I just want to know how to carve and paint my logs. I was stuck there for awhile. Other than that, it was a fun game to play and one of the better studies I have participated in."
2/3/2017 15:27:05,45,I was shown instructions on how to play a game where I had to create tools to help build a totem pole to please the gods. We had to combine objects in order to make more objects. It was difficult because we had no directions for what to combine we just had to combine objects in random patterns.,"No, I understood what I was supposed to do.",2,2,6,"I tried to combine each object with itself and all the other objects at least once and then vary those objects I'm combining with other objects. I tried to just try the patterns of combining everything together. (i.e Wood + wood, wood + rock, wood + rock + berry, etc)","Don't go for such a long time, it becomes exhausting and boring and just annoying."
2/3/2017 15:27:29,46,I was suppose to build tools for a totem pole to make my tribe proud. I had to combine different things to make tools. I only got to do two tools within the first couple minutes.,"Yes, I was confused about the task.",1,1,7,"In the beginning, I thought to put different things together. Soon after I just felt the need to put in different things and randomize them.  ",none at all
2/3/2017 16:22:27,47,create tools using the resources given to build a totem,"Yes, I was confused about the task.",2,2,6,tried out each resources with the other resources,
2/3/2017 16:25:25,50,Use resources to create tools to build a totem for you God,"No, I understood what I was supposed to do.",5,3,6,try to find all tools the derive from solely resources and then keep trying combinations ,This game was pretty difficult
2/3/2017 16:25:41,48,I was supposed to use resources provided to me to build a totem.,"No, I understood what I was supposed to do.",3,1,6,I tried combining items that I thought would work together but it did not work well.,I think this is well designed.
2/3/2017 16:27:00,49,My job was to create a totem to save my virtual village by using the resources I had available. I could make tools by combining the resources in the workshop.,"Yes, I was confused about the task.",1,1,7,"At first, I make combinations of two using the original resources. After awhile, the combinations were mostly random.",No
2/6/2017 11:35:05,53,Making a totem out of tools,"No, I understood what I was supposed to do.",1,1,7,no,no
2/6/2017 11:36:21,52,Supposed to create tools using resources and build the totem pole.,"No, I understood what I was supposed to do.",2,7,2,trying all combinations,It was very enjoyable.Thanks for the opportunity.
2/6/2017 11:36:31,51,I was supposed to make a totem pole by making various tools.,"No, I understood what I was supposed to do.",6,6,6,Part of it was common sense. ,The tool used to cut bark from the big tree looked too much like an arrowhead..but that's probably just me. I was so god damn close.
2/6/2017 12:09:01,54,"I was supposed to create a totem out of natural resources by trying to combine them to make different tools and at the end, create an elaborate totem pole.","No, I understood what I was supposed to do.",3,5,5,I guess I sort of just used trial and error.,I thought it was an enjoyable game that utilized your creativity.
2/6/2017 12:44:58,55,It's too hard.,"Yes, I was confused about the task.",1,1,7,Try to think about the ancestor tools how to build,"No, I didn't get it"
2/6/2017 13:02:53,56,i was required to build tools out of scare resources in order to build a totem pole ,"No, I understood what I was supposed to do.",1,2,6,"you started simple, and then using the tools you built with simple resources to make complex resources ","it was fun but hard
"
2/6/2017 13:04:01,57,we were supposed to use resources to build a tottem,"No, I understood what I was supposed to do.",3,2,6,I tried using different combinations,"Instead of having 4 boxes, a combination of maximum 3 things would make it easier and enjoyable."
2/6/2017 13:05:21,58,I was supposed to build tools in order to build a totem,"Yes, I was confused about the task.",1,4,6,I tried to try different tools one by one. I tried to think what tools would make sense if you put them together.,It wasn't clear that you could use the same tool twice in order to build another. I may have misread the instructions.
2/6/2017 14:04:07,61,find resources through experiments to build a totem poll,"No, I understood what I was supposed to do.",4,4,4,I used the resources that my ancestor had and built up from there ,
2/6/2017 14:05:42,60,Build items out of given resources to build a totem pole.,"No, I understood what I was supposed to do.",2,3,4,Trying random combinations and looking at how previous tools were made.,n/a
2/6/2017 14:06:02,59,We were supposed to find tools in order to make the tallest totem pole,"No, I understood what I was supposed to do.",3,3,5,"Not really, I just put pieces together that looked like they could make something new",It was helpful to see what my teammate did and how
2/6/2017 14:59:18,62,make a totem pole out of different supplies,"No, I understood what I was supposed to do.",1,3,6,Not really. I just grouped random supplies together with others until they made a new supply.,No
2/6/2017 15:00:24,63,"I was supposed to use tools and resources to build other tools and resources, in hopes of eventually using them to build a totem pole.","No, I understood what I was supposed to do.",1,2,5,"I guessed and checked nearly everything, based off of what was used previously to get other resources.",
2/7/2017 11:44:47,66,"use available resources to build tools for creating a ""totem to the gods""","No, I understood what I was supposed to do.",1,2,6,systematically increasing items in workshop,no but want to see the tools process
2/7/2017 11:46:25,64,Create tools in order to build a totem pole using available resources,"No, I understood what I was supposed to do.",1,4,6,"Try items alone, try same item together",
2/7/2017 11:47:23,65,have to apply tools to build tortem,"No, I understood what I was supposed to do.",3,5,,"Try to combine the tools together, including the basic tools and advanced tools.","It's interesting, very hard to find the combinations."
2/9/2017 11:46:18,69,create totem poles with another person and build off of what they build also.,"No, I understood what I was supposed to do.",5,4,6,just tried to think of what would actually build things in real life,it was challenging
2/9/2017 11:47:35,70,Build tools with different material in order to create a totem pole,"No, I understood what I was supposed to do.",3,1,6,knowledge of tools of the past,no
2/10/2017 12:47:15,71,I was supposed to make a totem pole. I was supposed to mix my resources and make tools then use those tools to create more materials better to make a totem pole. ,"No, I understood what I was supposed to do.",2,1,7,I tried used different things and kept track of what I did before and didn't do it again to not waste my time. ,I really did not like the game.
2/10/2017 12:47:52,72,make a totem by combining materials like in ancient days ,"No, I understood what I was supposed to do.",1,4,3,rotating out multiple items if i had excess than two,
2/10/2017 12:48:55,73,build tools to make a totem pole to appease the gods,"Yes, I was confused about the task.",1,2,5,probability of combinations of items,none
2/10/2017 12:49:15,74,It was a game that used resources to build a totem to please the Gods.,"No, I understood what I was supposed to do.",4,6,5,"No, just used trial and error. I also observed what the other player was doing and basically copied when  he managed to create a new tool.",No
2/10/2017 14:52:55,76,Make tools to make a totem,"Yes, I was confused about the task.",1,1,7,No,
2/10/2017 14:53:32,78,Combined earthly materials to make a new object ,"Yes, I was confused about the task.",1,3,5,"After figuring out what the idea of the game was, I had a better sense of what to do. ",
2/10/2017 15:44:27,79,I need to collect some specific materials and put them together to have a new material.,"Yes, I was confused about the task.",2,,5,No. I just put the materials randomly.,
2/10/2017 15:47:43,9075607284,Using basic materials to try various combinations in order to complete tools and construct a totem,"Yes, I was confused about the task.",3,1,7,"Most of the tools need to combine two materials, and some of them are identical materials.",It is really tedious!
2/10/2017 16:18:46,75,Use the resources provided to construct tools to use to build a totem pole.,"Yes, I was confused about the task.",2,2,6,no,no
2/10/2017 16:31:45,81,I were supposed to use natural resource to make tools that using for building a Totem.,"Yes, I was confused about the task.",1,1,7,I combine items in order so I can try all the possible combinations. ,I almost fall asleep : )
2/14/2017 13:22:58,85,we suppose to combine stuff,"Yes, I was confused about the task.",5,2,6,"at first, combine each of the resources together ",no
2/14/2017 13:23:09,83,I was given 6 resources to begin with and was told to combine them in various patterns to eventually create a totem pole. ,"Yes, I was confused about the task.",1,4,6,I tried to keep organized and remember which combinations I have tried and which seem to make sense. ,None
2/14/2017 13:23:44,84,Match items to create tools,"Yes, I was confused about the task.",1,1,7,At times I would pick in a pattern to try not repeat,
2/14/2017 13:58:37,86,I suppose to build a totem by combining the material I was given,"Yes, I was confused about the task.",2,2,6,"yes, like rock and wood can basically make some good stuff","I cannot make any totem, it was so frustrating
hope the instruction can be more clear about what we should do "
2/14/2017 13:59:25,88,suppose to use raw materials to make tools,"Yes, I was confused about the task.",3,2,3,based on my common sense,the pictures can be more realistic
2/14/2017 14:05:44,89,Construct a totem poll using basic tools given and information gained from past players,"No, I understood what I was supposed to do.",2,5,6,Lots of trial and error. Tried to look for patterns in ways tools were formed.,
2/15/2017 13:53:24,90,I was supposed to combine resources to create new tools to make a totem pole. ,"No, I understood what I was supposed to do.",2,1,7,"At first I tried making something out of each individual item, but that only created one new tool. Then I started to combine two items together, but again that only created one new tool. At that point, I tried many new combinations with 3-4 resources. I wasn't able to create anything else and that was extremely frustrating.",It was very frustrating and I found it very difficult to create new tools... if there even were other combinations beyond the two that I found.
2/15/2017 13:53:46,92,"I was supposed to attempt to combine different resources, gaining better resources and tools along the way, to eventually build a totem pole.","No, I understood what I was supposed to do.",4,5,4,"I tried to methodically test all unique possibilities, although i didn't include combos with multiples of the same resource initially, which made me miss some.","It ended a little abruptly, I didn't really mean to finish when I did. I thought that I would be able to keep doing things after dragging some items to the totem pole."
2/15/2017 13:54:21,93,I was supposed to create a totem pole using 6 resources and create new tools using the resources I had or created. ,"Yes, I was confused about the task.",1,2,7,No,this game gets frustrating and exhausting. After trying to come up with several combining resources it was hard to motivate myself to keep going and that eventually i would get a new tool. 
2/15/2017 13:57:07,91,"Combine resources and try to make a totem pole out of trees, berries, rocks etc.","No, I understood what I was supposed to do.",1,4,4,Combining the resources in different orders,I found it to be really fun once I figured out how to make a new item without my ancestor's help
2/16/2017 14:49:56,95,"You were required to build tools, using the resources provided, that would help you construct a totem pole","Yes, I was confused about the task.",2,1,6,I tried to use logic. So I knew I would somehow have to cut the tree down into logs and I the only resources offered that could have been made into something sharp were the rocks so that's why I decided to workshop the two together. ,N/A
2/16/2017 14:50:40,96,discover new resources and make tools to build a totem pole,"Yes, I was confused about the task.",3,3,5,"I tired, to just combine two items at a time and rotate with the items that I had. If I got a new item I tried it with original resources and well as other discovered resources. ",no
2/16/2017 15:38:53,97,I just completed an expert about building a totem. I was supposed to continue to combine my resources to find more and more tools so that I could build the most decorative totem possible.,"No, I understood what I was supposed to do.",6,6,5,I started by putting one resource and then trying every other resource with it. I would then put in the next resource and repeat. I also made sure to try and use the same object twice to see if it would produce anything.,Being able to drag a new object over a current object inside of the workshop belt and having it auto replace would be a nice quality of life feature.
2/16/2017 17:10:55,98,My mission was to create tools based on materials given to me in order to construct a totem pole. ,"No, I understood what I was supposed to do.",2,5,6,"I created everything my ""ancestor"" created and then tried to figure out which tools were suitable in creating the tools I would need to take the next step. ",It was very fun yet very frustrating but it was also very rewarding when you solved a piece of the puzzle
2/20/2017 11:31:28,99,I tried to use resources on the game to build a totem pole & could view my teammate to help me get hints.,"No, I understood what I was supposed to do.",2,6,6,"I tried to logically think of what fit together, but also tested things that may have been unexpected, so I mostly did random guesses.",Let us know if there's a way to keep playing this somewhere because I want to know how to solve it!
2/20/2017 11:31:45,101,I was asked to build a totem pole out of random assorted objects and make the correct combinations.,"Yes, I was confused about the task.",1,2,6,My specific strategy was combing the woods with the stones to try to create something stronger.,
2/20/2017 11:32:15,100,Figure out how to build the necessary tools in order to build a totem pole.,"No, I understood what I was supposed to do.",5,6,6,I tried every combination that made logical sense to produce an item I thought would be helpful (e.j. the axe),Very difficult game
2/20/2017 13:01:41,102,Work together as a team to achieve a common goal,"No, I understood what I was supposed to do.",7,6,6,Brute force pattern combinations,
2/20/2017 13:04:08,103,I was suppose to use the resources given to me to create new resources to create a totem pole,"No, I understood what I was supposed to do.",4,4,5,"First I experimented with the initial resources by themselves to see if they gave me any new resources to work with. Then if it did, I would make more of it to then combine with other resources to create new ones.",It was good
2/20/2017 15:14:31,106,Use resources to try and build a totem ,"No, I understood what I was supposed to do.",1,1,6,Used the ancestors tools.,No
2/20/2017 15:17:38,104,"put ""resources"" together to try to gain other resources to build a totem poll","Yes, I was confused about the task.",2,2,3,No,"Instructions need to be rewritten, they're so dry which can make it confusing"
2/20/2017 15:18:05,105,I was supposed to combine different materials to create new ones and eventually try to create a totem. ,"No, I understood what I was supposed to do.",1,2,3,"At first I tried to combine two of everything and then moved on to three of everything. It was mostly trail and error, however I thought of what could make a sharp tool and how that eventually could lead to be able to cut a tree so I tried combinations that way. ",No 
2/20/2017 15:22:49,107,use given materials to build new tools to make a totem pole,"No, I understood what I was supposed to do.",3,4,7,common sense. like breaking down a rock to make an arrowhead,"it was challenging, but fun"
2/20/2017 16:01:28,108,I was to combine differnt elements with a partner in order to build a totem,"No, I understood what I was supposed to do.",2,3,5,I tried to think of what i would need to build a totem,
2/20/2017 16:02:55,111,combine different items and create a totem,"No, I understood what I was supposed to do.",1,1,7,using math combinations. ,you just have to keep on guessing and using combinations
2/20/2017 16:03:36,110,"We were given random things that could be found in the wild and told to build tools out of them. Different combinations yielded different tools that would allow you to build more complex objects. All of these objects were supposed to come together to create a totem pole. The tools created were ranked by points, and we were told to aim for the highest amount of points in order to please the God's. ","No, I understood what I was supposed to do.",2,5,6,"Whenever we created new resources, we tried to put them together in order to create more tools. ","I would specify that tools can be grabbed from the box afterwards in order to build off of them. I don't know if this was mentioned, but I found out through trial and error! "
2/20/2017 16:03:57,109,"The experiment was about working as a team to complete a task in a game.  In this case, building a totem pole.  ","Yes, I was confused about the task.",2,3,6,"No not really, just combined random things.  However, I did try to make everything my ancestors had made.  ",How do you actually start making the totem pole?
2/20/2017 16:36:50,113,I was supposed to create a totem based off of resources that were given.,"Yes, I was confused about the task.",5,3,7,"No, it was just kind of randomized.",Nope. Good Experiment though.
2/20/2017 16:43:04,114,Build a totem pole with resources,"No, I understood what I was supposed to do.",1,1,5,No,Very frustrating 
2/20/2017 16:44:16,112,"Build tools with materials at hand to complete a totem pole, with the aid of a partner","No, I understood what I was supposed to do.",5,5,6,"Based off of previous tools I made, I would try combinations with the materials previously used ",
2/23/2017 11:47:40,116,I was supposed to build a totem pole to please the gods of my tribe since food was scarce.,"No, I understood what I was supposed to do.",1,5,4,I would try to think of it in real life. What materials make up certain tools?,It reminded me of Minecraft
2/23/2017 11:48:02,115,The experiment was to see how team work progressed the completion of the game. The task was to build a totem pole out of resources. ,"No, I understood what I was supposed to do.",1,7,6,"Yes, I stuck with one item and tried every possible other item with it to see if it generated a new item. And if it did, I tried to find logical combinations for the new item. ",I thought the game was interesting and it really made me think through which combinations would be beneficial. 
2/23/2017 12:27:26,117,I had to combine items to create tools to build a totem pole,"No, I understood what I was supposed to do.",5,5,6,I looked for a pattern in what worked and what didn't work and tried to work off of that.,None
2/24/2017 12:47:57,118,I was tasked to try different items together to make tools to make a totem pole.,"No, I understood what I was supposed to do.",5,5,6,I used the ancestors items and descriptions. Also tried my best to use logical combinations that I thought made sense.,It was an interesting study and I enjoyed it more than the other studies I've done so far.
2/24/2017 12:56:05,119,,"Yes, I was confused about the task.",1,2,7,I just saw that two of the same objects often changed to another ,
2/24/2017 14:44:59,121,attempt all the combinations of items in attempt to create tools that would aid you in creating a totem pole,"Yes, I was confused about the task.",2,5,7,"I tried to try all the possible combinations possible, but there were a lot of variables present.",it would've made the task slightly easier if you knew exactly what you created instead of the vague picture
2/24/2017 14:45:17,120,combining items to make a totem pole,"No, I understood what I was supposed to do.",3,,5,I tried to combining all items with one object first so I could figure out what went together,
3/1/2017 14:02:13,124,"I was asked to complete a computer game in which the main goal was to build a totem pole using the resources provided to me. The point of the game was to build tools out of other tools, out of resources. Tools and resources could be exploited individually or in different combinations. ","No, I understood what I was supposed to do.",1,3,3,I tried to start by testing every possible combination and used a pattern to test one resource up against the other. I then cross-referenced with my ancestor and built everything that they had created so that I would have it available to me. ,"I'm very curious to see what the findings of this study show. I think you allow an appropriate amount of time. Just as I was really starting to get sick of it, the game ended. This was well-ran."
3/1/2017 14:37:53,125,I was suppose to build tools from the unlimited resources I had which were to be used to build different tools that would eventually let me create the pieces I needed to build a totem pole,"No, I understood what I was supposed to do.",2,3,5,"I went through each resource and pair it with itself, once and multiple times and then paired it with all the other resources, one or more, and simply put the resource in the workshop alone. Once I got some tools I repeated the process this time including the new items",
3/1/2017 14:48:18,126,I was given resources to use in my stock with the goal of building a totem pole.,"No, I understood what I was supposed to do.",1,3,6,I just tried to combine one resource with all of the other resources to hopefully make a new resource.,
3/1/2017 15:27:37,129,Build a totem pole,"No, I understood what I was supposed to do.",5,6,6,Follow what the ancestor did as it slowly showed more of their work.,
3/1/2017 15:27:48,128,Using a limited amount of resources to create a totem pole by adding different resources together to create new ones ,"No, I understood what I was supposed to do.",3,7,6,"I tried to use logic to find what resources would go together, and when that didn't work I tried as many combinations as possible ",It would be nice to know what the resource is instead of just looking at a picture 
3/1/2017 15:37:25,130,use the resources available to create tools to make even more tools and eventually make a totem ,"Yes, I was confused about the task.",1,1,7,no,
3/10/2017 14:01:43,132,to create tools from resources to build a totem pole,"Yes, I was confused about the task.",2,4,6,process of elimination,"names of objects would have been good, some of the objects were very similar, like the versions of the rock, and being able to distinguish between them would have been helpful for progression"
3/10/2017 14:55:05,137,create a totem from various resources,"No, I understood what I was supposed to do.",4,4,6,I always tried a newly discovered material by itself before trying to combine it with something else,No
3/10/2017 14:56:18,135,I was asked to play a computer game in order to build a virtual totem pole.,"Yes, I was confused about the task.",1,3,5,I made random combinations or swapped one resource at a time to systematically rule out combinations.,n/a
3/10/2017 15:00:33,136,building a totem to honor our god to avoid threat ,"No, I understood what I was supposed to do.",1,3,5,combine the resource in order to try so will not skip,it is a little strange and i cannot use logic and analyze it
3/10/2017 15:42:10,139,"Build tools from natural resources, use tools to build best totem to please Gods.","No, I understood what I was supposed to do.",1,6,5,"Trying all permutations, seeing what categories of tools were possible.","Interesting game, the learning curve for building tools started off steep."
3/10/2017 15:43:04,140,"Use all the material you have to form new things based on their random combinations and finally build a totem. And there is instruction on how to build them, but you have to wait for a while.","Yes, I was confused about the task.",3,2,5,No I didn't. I have no clue how to do this.,"I think you guys are trying to make it more fun, but I failed..."
3/13/2017 14:36:06,147,Use given resources to combine and make tools toward the goal of making a totem pole out of those tools. ,"Yes, I was confused about the task.",4,5,4,Not exactly specific strategy. I used the wood and stone resources more because I figured those would produce tools in which I would be able to create a totem pole out of the given tree resource.,No
3/13/2017 16:34:38,148,My task was to create a totem pole using tools that I create from resources.  The experiment was about teamwork and how it affects learning and tasks.,"No, I understood what I was supposed to do.",2,2,7,I just tried to make as many combinations as possible as well as use my knowledge of what an actual totem pole is supposed to look like.,None
3/14/2017 14:01:43,149,I was supposed to build a totem pole using resources that I needed to figure out how to make.,"No, I understood what I was supposed to do.",2,6,4,"When I couldn't think of any more logical combinations, I just started seeing if random things would produce something.",It was fun.
3/14/2017 14:55:36,150,Create tools to build a totem pole,"No, I understood what I was supposed to do.",1,2,6,No,It was difficult because I had a difficult time finding how to create new tools after the one's the ancestors had created
3/16/2017 11:35:09,151,make a totem pole,"Yes, I was confused about the task.",1,1,7,I looked at what my partner did,
3/16/2017 11:35:15,153,You were supposed to combine materials together to build tools that would eventually make a totem pole.,"Yes, I was confused about the task.",2,1,7,"I really just started off by combining the raw resources given to see what would create a tool. Then, I began attempting to combine tools with raw resources as well as with other tools.","I felt the researcher did a good job explaining what would be going on, I just felt a bit confused when I got into the actual game itself."
3/16/2017 11:35:56,152,Put different resources together to make tools and build a totem,"No, I understood what I was supposed to do.",1,5,5,I looked at how other tools were made and took into account how many resources were used to see if there was any pattern.,It would have been nice to have some hints after being stuck for awhile
3/16/2017 11:48:05,154,I was supposed to create a totem pole by turning raw materials into resources,"No, I understood what I was supposed to do.",2,3,6,I tried to recognize patterns that were successful in creating a material,
3/27/2017 11:28:23,155,Using a computer game I was supposed to help my team by making tools and building a totem pole.,"No, I understood what I was supposed to do.",1,4,6,First I tried to create as many combinations of the natural resources as possible. Then I tried to create as many combinations of one natural resource and one tool as possible. Then I tried to create as many combinations two tools as possible. Then I randomly tried 3 and 4 piece combinations.,No
3/31/2017 14:09:40,159,"I was told to build a totem pole for my tribe, and combine certain materials to make more, and essentially, make the right materials for a totem pole.","No, I understood what I was supposed to do.",2,2,5,"I just doubled up each resource, then tripled up, and sometimes quadrupled up. I also matched my new resources with old and new resources.","There should be music next time, if it doesn't affect your study."
3/31/2017 14:58:26,172,,"No, I understood what I was supposed to do.",1,1,7,"no, just put random things together until they made something",n/a
3/31/2017 14:59:59,167,Build a totem pole by putting different items together,"No, I understood what I was supposed to do.",1,1,7,Not really I randomly put things together,It was very hard and made me tired
3/31/2017 15:01:29,173,played a computer game with the objective to make a totem pole,"No, I understood what I was supposed to do.",3,5,7,I started with the information from the ancestors and used their highest level of things and used it with the other tools I had. I tried to do it in a methodical way to try all types of combinations.,
4/3/2017 11:29:43,175,We were supposed to create a totem pole by using materials and combining them to create more tools and eventually build a totem pole.,"No, I understood what I was supposed to do.",3,4,6,Once I made a new tool I kept this in my materials and tried using it with the other materials I already had to create new tools.,
4/3/2017 11:29:56,174,"In this experiment, we were paired up and had to combinations of abundant resources to essentially make a Totem Pole. The combinations made tools for us to use. ","No, I understood what I was supposed to do.",1,2,6,"At first, I didn't really have a strategy. But I decided to use one particular resource with all the items to see any matches and also try to duplicate a said item. ",None
4/3/2017 12:56:07,176,Mix and match materials to build the best totem pole to please the Gods.,"No, I understood what I was supposed to do.",2,6,5,I tried to use what worked before with other materials,
4/3/2017 12:56:16,177,I was supposed to drag supplies into an area to see if they could create new supplies. ,"Yes, I was confused about the task.",1,1,7,"At first, I was trying to see what resources go together and what resources, if combined, has the possibility of creating something new. ",No
4/4/2017 10:27:23,178,You were supposed to pick out single objects or combine objects in order to create other resources in the goal of creating a totem pole.,"No, I understood what I was supposed to do.",1,4,6,No,No
4/4/2017 11:53:37,179,I was paired up with a teammate and we were supposed to use the resources we had to build a totem. ,"No, I understood what I was supposed to do.",4,7,6,I tried to use all of the resources in different combinations. ,The game was fun but challenging. Made me really glad I had a teammate. 
4/4/2017 11:53:46,180,combine and collect materials with the ultimate goal of building a totem pole,"Yes, I was confused about the task.",5,3,6,"I would combine one item with all of the items in the inventory, and then repeat the process with each item. ",
4/5/2017 14:28:44,181,Build tools to build a totem pole,"Yes, I was confused about the task.",5,6,4,Used my real world knowledge to guess how to build the next tools,No
4/5/2017 14:30:28,182,I was supposed to combine raw materials in an attempt to make tools to them make a totem poll.,"No, I understood what I was supposed to do.",1,1,5,"I tried to find a pattern to the way in which the materials needed to be combined, however, the game ended before a pattern was made clear.",None
4/5/2017 15:25:52,183,use resources to make new resources to build a totem pole,"No, I understood what I was supposed to do.",2,2,6,"tried to think what would work well together, and randomly tried resources together",
4/7/2017 14:33:06,184,I was supposed to build a totem pole with various tools ,"Yes, I was confused about the task.",3,3,6,"I used basic logic in making some of the tools. For example, a stone, rope, and stick were used to build an ax.",Simpler recipes for the tools could have helped.
4/7/2017 15:36:08,185,Build a totem pole using resources to build tools.,"No, I understood what I was supposed to do.",1,1,7,In the beginning I tried to put one resource in the first space then add the remaining to the second space until I made a tool.,It was extremely frustrating.
4/11/2017 11:40:41,186,I was tasked with building tools out of raw materials to build a totem pole.,"No, I understood what I was supposed to do.",3,3,6,Trial and error based off the tools the other person had made and those I found.,
4/12/2017 14:18:54,187,I had to combine resources in order to make a totem poll and save the tribe,"No, I understood what I was supposed to do.",6,5,7,I just tried to combine as many things as possible and hoped that they would work out,no
