Strategy,PlayerID,Generation,Instructions,TeamStatus,SessionStatus,Notes
Diachronic,P148,2,no_instructions,valid,valid,NA
Diachronic,P149,1,no_instructions,valid,valid,NA
Diachronic,P150,2,no_instructions,valid,valid,NA
Diachronic,P153,1,no_instructions,valid,valid,NA
Diachronic,P198,2,no_instructions,valid,valid,NA
Diachronic,P154,1,no_instructions,valid,valid,NA
Diachronic,P199,2,no_instructions,valid,valid,NA
Diachronic,P854,1,instructions,valid,valid,NA
Diachronic,P893,2,instructions,valid,valid,NA
Diachronic,P855,1,instructions,valid,valid,NA
Diachronic,P894,2,instructions,valid,valid,NA
Diachronic,P856,1,instructions,valid,valid,NA
Diachronic,P895,2,instructions,valid,valid,NA
Diachronic,P857,1,instructions,valid,valid,NA
Diachronic,P898,2,instructions,valid,valid,NA
Diachronic,P870,1,instructions,valid,valid,NA
Diachronic,P899,2,instructions,valid,valid,NA
Diachronic,P871,1,instructions,valid,valid,NA
Diachronic,P896,2,instructions,valid,valid,NA
Diachronic,P872,1,instructions,valid,valid,NA
Diachronic,P897,2,instructions,valid,valid,NA
Diachronic,P873,1,instructions,valid,valid,NA
Diachronic,P900,2,instructions,valid,valid,NA
Diachronic,P874,1,instructions,valid,valid,NA
Diachronic,P901,2,instructions,valid,valid,NA
Diachronic,P875,1,instructions,valid,valid,NA
Diachronic,P876,1,instructions,valid,valid,NA
Diachronic,P902,2,instructions,valid,valid,NA
Diachronic,P877,1,instructions,valid,valid,NA
Diachronic,P903,2,instructions,valid,valid,NA
Diachronic,P878,1,instructions,valid,valid,NA
Diachronic,P904,2,instructions,valid,valid,NA
Diachronic,P879,1,instructions,valid,valid,NA
Diachronic,P905,2,instructions,valid,valid,NA
Diachronic,P880,1,instructions,valid,valid,NA
Diachronic,P906,2,instructions,valid,valid,NA
Diachronic,P881,1,instructions,valid,valid,NA
Diachronic,P907,2,instructions,valid,valid,NA
Diachronic,P882,1,instructions,valid,valid,NA
Diachronic,P908,2,instructions,valid,valid,NA
Diachronic,P883,1,instructions,valid,valid,NA
Diachronic,P909,2,instructions,valid,valid,NA
Diachronic,P884,1,instructions,valid,valid,NA
Diachronic,P910,2,instructions,valid,valid,NA
Diachronic,P885,1,instructions,valid,valid,NA
Diachronic,P888,1,instructions,valid,valid,NA
Diachronic,P889,1,instructions,valid,valid,NA
Diachronic,P890,1,instructions,valid,valid,NA
Diachronic,P891,1,instructions,valid,valid,NA
Diachronic,P892,1,instructions,valid,valid,NA
Diachronic,P911,1,instructions,valid,valid,NA
Diachronic,P912,1,instructions,valid,valid,NA
Diachronic,P913,1,instructions,valid,valid,NA
Diachronic,P914,1,instructions,valid,valid,NA
Diachronic,P915,1,instructions,valid,valid,NA
Diachronic,P916,1,instructions,valid,valid,NA
Diachronic,P917,1,instructions,valid,valid,NA
